"","GEOID","Place","race","estimate","year"
"1","2400125","Aberdeen city","total",14920,"2010"
"2","2400125","Aberdeen city","white",8926,"2010"
"3","2400125","Aberdeen city","black",4503,"2010"
"4","2400125","Aberdeen city","native_am",19,"2010"
"5","2400125","Aberdeen city","asian",349,"2010"
"6","2400125","Aberdeen city","pac_islander",0,"2010"
"7","2400125","Aberdeen city","hispanic",657,"2010"
"8","2400175","Aberdeen Proving Ground CDP","total",3558,"2010"
"9","2400175","Aberdeen Proving Ground CDP","white",1877,"2010"
"10","2400175","Aberdeen Proving Ground CDP","black",1035,"2010"
"11","2400175","Aberdeen Proving Ground CDP","native_am",0,"2010"
"12","2400175","Aberdeen Proving Ground CDP","asian",47,"2010"
"13","2400175","Aberdeen Proving Ground CDP","pac_islander",0,"2010"
"14","2400175","Aberdeen Proving Ground CDP","hispanic",586,"2010"
"15","2400225","Accident town","total",323,"2010"
"16","2400225","Accident town","white",313,"2010"
"17","2400225","Accident town","black",0,"2010"
"18","2400225","Accident town","native_am",0,"2010"
"19","2400225","Accident town","asian",0,"2010"
"20","2400225","Accident town","pac_islander",0,"2010"
"21","2400225","Accident town","hispanic",2,"2010"
"22","2400250","Accokeek CDP","total",10513,"2010"
"23","2400250","Accokeek CDP","white",2430,"2010"
"24","2400250","Accokeek CDP","black",7108,"2010"
"25","2400250","Accokeek CDP","native_am",0,"2010"
"26","2400250","Accokeek CDP","asian",420,"2010"
"27","2400250","Accokeek CDP","pac_islander",0,"2010"
"28","2400250","Accokeek CDP","hispanic",754,"2010"
"29","2400350","Adamstown CDP","total",2134,"2010"
"30","2400350","Adamstown CDP","white",1773,"2010"
"31","2400350","Adamstown CDP","black",39,"2010"
"32","2400350","Adamstown CDP","native_am",0,"2010"
"33","2400350","Adamstown CDP","asian",47,"2010"
"34","2400350","Adamstown CDP","pac_islander",0,"2010"
"35","2400350","Adamstown CDP","hispanic",250,"2010"
"36","2400400","Adelphi CDP","total",15040,"2010"
"37","2400400","Adelphi CDP","white",4414,"2010"
"38","2400400","Adelphi CDP","black",5897,"2010"
"39","2400400","Adelphi CDP","native_am",101,"2010"
"40","2400400","Adelphi CDP","asian",1102,"2010"
"41","2400400","Adelphi CDP","pac_islander",0,"2010"
"42","2400400","Adelphi CDP","hispanic",5589,"2010"
"43","2400712","Algonquin CDP","total",1130,"2010"
"44","2400712","Algonquin CDP","white",1085,"2010"
"45","2400712","Algonquin CDP","black",45,"2010"
"46","2400712","Algonquin CDP","native_am",0,"2010"
"47","2400712","Algonquin CDP","asian",0,"2010"
"48","2400712","Algonquin CDP","pac_islander",0,"2010"
"49","2400712","Algonquin CDP","hispanic",0,"2010"
"50","2400800","Allen CDP","total",297,"2010"
"51","2400800","Allen CDP","white",270,"2010"
"52","2400800","Allen CDP","black",27,"2010"
"53","2400800","Allen CDP","native_am",0,"2010"
"54","2400800","Allen CDP","asian",0,"2010"
"55","2400800","Allen CDP","pac_islander",0,"2010"
"56","2400800","Allen CDP","hispanic",0,"2010"
"57","2401450","Andrews AFB CDP","total",2719,"2010"
"58","2401450","Andrews AFB CDP","white",1794,"2010"
"59","2401450","Andrews AFB CDP","black",517,"2010"
"60","2401450","Andrews AFB CDP","native_am",0,"2010"
"61","2401450","Andrews AFB CDP","asian",115,"2010"
"62","2401450","Andrews AFB CDP","pac_islander",0,"2010"
"63","2401450","Andrews AFB CDP","hispanic",379,"2010"
"64","2401600","Annapolis city","total",37825,"2010"
"65","2401600","Annapolis city","white",25596,"2010"
"66","2401600","Annapolis city","black",8788,"2010"
"67","2401600","Annapolis city","native_am",48,"2010"
"68","2401600","Annapolis city","asian",899,"2010"
"69","2401600","Annapolis city","pac_islander",0,"2010"
"70","2401600","Annapolis city","hispanic",5887,"2010"
"71","2401635","Annapolis Neck CDP","total",11105,"2010"
"72","2401635","Annapolis Neck CDP","white",9435,"2010"
"73","2401635","Annapolis Neck CDP","black",995,"2010"
"74","2401635","Annapolis Neck CDP","native_am",0,"2010"
"75","2401635","Annapolis Neck CDP","asian",74,"2010"
"76","2401635","Annapolis Neck CDP","pac_islander",0,"2010"
"77","2401635","Annapolis Neck CDP","hispanic",904,"2010"
"78","2401750","Antietam CDP","total",120,"2010"
"79","2401750","Antietam CDP","white",120,"2010"
"80","2401750","Antietam CDP","black",0,"2010"
"81","2401750","Antietam CDP","native_am",0,"2010"
"82","2401750","Antietam CDP","asian",0,"2010"
"83","2401750","Antietam CDP","pac_islander",0,"2010"
"84","2401750","Antietam CDP","hispanic",0,"2010"
"85","2401925","Aquasco CDP","total",836,"2010"
"86","2401925","Aquasco CDP","white",341,"2010"
"87","2401925","Aquasco CDP","black",495,"2010"
"88","2401925","Aquasco CDP","native_am",0,"2010"
"89","2401925","Aquasco CDP","asian",0,"2010"
"90","2401925","Aquasco CDP","pac_islander",0,"2010"
"91","2401925","Aquasco CDP","hispanic",0,"2010"
"92","2401975","Arbutus CDP","total",20406,"2010"
"93","2401975","Arbutus CDP","white",15356,"2010"
"94","2401975","Arbutus CDP","black",2770,"2010"
"95","2401975","Arbutus CDP","native_am",88,"2010"
"96","2401975","Arbutus CDP","asian",1356,"2010"
"97","2401975","Arbutus CDP","pac_islander",0,"2010"
"98","2401975","Arbutus CDP","hispanic",576,"2010"
"99","2402025","Arden on the Severn CDP","total",1921,"2010"
"100","2402025","Arden on the Severn CDP","white",1705,"2010"
"101","2402025","Arden on the Severn CDP","black",110,"2010"
"102","2402025","Arden on the Severn CDP","native_am",0,"2010"
"103","2402025","Arden on the Severn CDP","asian",26,"2010"
"104","2402025","Arden on the Severn CDP","pac_islander",0,"2010"
"105","2402025","Arden on the Severn CDP","hispanic",0,"2010"
"106","2402275","Arnold CDP","total",22483,"2010"
"107","2402275","Arnold CDP","white",19720,"2010"
"108","2402275","Arnold CDP","black",998,"2010"
"109","2402275","Arnold CDP","native_am",28,"2010"
"110","2402275","Arnold CDP","asian",748,"2010"
"111","2402275","Arnold CDP","pac_islander",92,"2010"
"112","2402275","Arnold CDP","hispanic",813,"2010"
"113","2402762","Ashton-Sandy Spring CDP","total",5350,"2010"
"114","2402762","Ashton-Sandy Spring CDP","white",4272,"2010"
"115","2402762","Ashton-Sandy Spring CDP","black",590,"2010"
"116","2402762","Ashton-Sandy Spring CDP","native_am",0,"2010"
"117","2402762","Ashton-Sandy Spring CDP","asian",353,"2010"
"118","2402762","Ashton-Sandy Spring CDP","pac_islander",0,"2010"
"119","2402762","Ashton-Sandy Spring CDP","hispanic",319,"2010"
"120","2402825","Aspen Hill CDP","total",47023,"2010"
"121","2402825","Aspen Hill CDP","white",23295,"2010"
"122","2402825","Aspen Hill CDP","black",11070,"2010"
"123","2402825","Aspen Hill CDP","native_am",145,"2010"
"124","2402825","Aspen Hill CDP","asian",5184,"2010"
"125","2402825","Aspen Hill CDP","pac_islander",0,"2010"
"126","2402825","Aspen Hill CDP","hispanic",10280,"2010"
"127","2403500","Baden CDP","total",2269,"2010"
"128","2403500","Baden CDP","white",1441,"2010"
"129","2403500","Baden CDP","black",762,"2010"
"130","2403500","Baden CDP","native_am",0,"2010"
"131","2403500","Baden CDP","asian",7,"2010"
"132","2403500","Baden CDP","pac_islander",0,"2010"
"133","2403500","Baden CDP","hispanic",88,"2010"
"134","2403514","Bagtown CDP","total",361,"2010"
"135","2403514","Bagtown CDP","white",361,"2010"
"136","2403514","Bagtown CDP","black",0,"2010"
"137","2403514","Bagtown CDP","native_am",0,"2010"
"138","2403514","Bagtown CDP","asian",0,"2010"
"139","2403514","Bagtown CDP","pac_islander",0,"2010"
"140","2403514","Bagtown CDP","hispanic",0,"2010"
"141","2403575","Bakersville CDP","total",0,"2010"
"142","2403575","Bakersville CDP","white",0,"2010"
"143","2403575","Bakersville CDP","black",0,"2010"
"144","2403575","Bakersville CDP","native_am",0,"2010"
"145","2403575","Bakersville CDP","asian",0,"2010"
"146","2403575","Bakersville CDP","pac_islander",0,"2010"
"147","2403575","Bakersville CDP","hispanic",0,"2010"
"148","2403800","Ballenger Creek CDP","total",19137,"2010"
"149","2403800","Ballenger Creek CDP","white",12804,"2010"
"150","2403800","Ballenger Creek CDP","black",2688,"2010"
"151","2403800","Ballenger Creek CDP","native_am",147,"2010"
"152","2403800","Ballenger Creek CDP","asian",1200,"2010"
"153","2403800","Ballenger Creek CDP","pac_islander",0,"2010"
"154","2403800","Ballenger Creek CDP","hispanic",2719,"2010"
"155","2404000","Baltimore city","total",620538,"2010"
"156","2404000","Baltimore city","white",186424,"2010"
"157","2404000","Baltimore city","black",399121,"2010"
"158","2404000","Baltimore city","native_am",2210,"2010"
"159","2404000","Baltimore city","asian",13991,"2010"
"160","2404000","Baltimore city","pac_islander",126,"2010"
"161","2404000","Baltimore city","hispanic",22812,"2010"
"162","2404050","Baltimore Highlands CDP","total",7319,"2010"
"163","2404050","Baltimore Highlands CDP","white",4890,"2010"
"164","2404050","Baltimore Highlands CDP","black",1592,"2010"
"165","2404050","Baltimore Highlands CDP","native_am",14,"2010"
"166","2404050","Baltimore Highlands CDP","asian",232,"2010"
"167","2404050","Baltimore Highlands CDP","pac_islander",17,"2010"
"168","2404050","Baltimore Highlands CDP","hispanic",960,"2010"
"169","2404250","Barclay town","total",168,"2010"
"170","2404250","Barclay town","white",165,"2010"
"171","2404250","Barclay town","black",0,"2010"
"172","2404250","Barclay town","native_am",0,"2010"
"173","2404250","Barclay town","asian",0,"2010"
"174","2404250","Barclay town","pac_islander",0,"2010"
"175","2404250","Barclay town","hispanic",3,"2010"
"176","2404475","Barnesville town","total",138,"2010"
"177","2404475","Barnesville town","white",126,"2010"
"178","2404475","Barnesville town","black",4,"2010"
"179","2404475","Barnesville town","native_am",0,"2010"
"180","2404475","Barnesville town","asian",2,"2010"
"181","2404475","Barnesville town","pac_islander",0,"2010"
"182","2404475","Barnesville town","hispanic",2,"2010"
"183","2404525","Barrelville CDP","total",0,"2010"
"184","2404525","Barrelville CDP","white",0,"2010"
"185","2404525","Barrelville CDP","black",0,"2010"
"186","2404525","Barrelville CDP","native_am",0,"2010"
"187","2404525","Barrelville CDP","asian",0,"2010"
"188","2404525","Barrelville CDP","pac_islander",0,"2010"
"189","2404525","Barrelville CDP","hispanic",0,"2010"
"190","2404625","Barton town","total",399,"2010"
"191","2404625","Barton town","white",390,"2010"
"192","2404625","Barton town","black",4,"2010"
"193","2404625","Barton town","native_am",0,"2010"
"194","2404625","Barton town","asian",2,"2010"
"195","2404625","Barton town","pac_islander",0,"2010"
"196","2404625","Barton town","hispanic",7,"2010"
"197","2404650","Bartonsville CDP","total",1298,"2010"
"198","2404650","Bartonsville CDP","white",1192,"2010"
"199","2404650","Bartonsville CDP","black",42,"2010"
"200","2404650","Bartonsville CDP","native_am",0,"2010"
"201","2404650","Bartonsville CDP","asian",64,"2010"
"202","2404650","Bartonsville CDP","pac_islander",0,"2010"
"203","2404650","Bartonsville CDP","hispanic",82,"2010"
"204","2405250","Beaver Creek CDP","total",183,"2010"
"205","2405250","Beaver Creek CDP","white",183,"2010"
"206","2405250","Beaver Creek CDP","black",0,"2010"
"207","2405250","Beaver Creek CDP","native_am",0,"2010"
"208","2405250","Beaver Creek CDP","asian",0,"2010"
"209","2405250","Beaver Creek CDP","pac_islander",0,"2010"
"210","2405250","Beaver Creek CDP","hispanic",0,"2010"
"211","2405525","Bel Air CDP","total",1097,"2010"
"212","2405525","Bel Air CDP","white",907,"2010"
"213","2405525","Bel Air CDP","black",0,"2010"
"214","2405525","Bel Air CDP","native_am",0,"2010"
"215","2405525","Bel Air CDP","asian",0,"2010"
"216","2405525","Bel Air CDP","pac_islander",0,"2010"
"217","2405525","Bel Air CDP","hispanic",145,"2010"
"218","2405550","Bel Air town","total",10167,"2010"
"219","2405550","Bel Air town","white",9132,"2010"
"220","2405550","Bel Air town","black",392,"2010"
"221","2405550","Bel Air town","native_am",20,"2010"
"222","2405550","Bel Air town","asian",86,"2010"
"223","2405550","Bel Air town","pac_islander",0,"2010"
"224","2405550","Bel Air town","hispanic",583,"2010"
"225","2405825","Bel Air North CDP","total",29172,"2010"
"226","2405825","Bel Air North CDP","white",26828,"2010"
"227","2405825","Bel Air North CDP","black",901,"2010"
"228","2405825","Bel Air North CDP","native_am",129,"2010"
"229","2405825","Bel Air North CDP","asian",738,"2010"
"230","2405825","Bel Air North CDP","pac_islander",0,"2010"
"231","2405825","Bel Air North CDP","hispanic",1113,"2010"
"232","2405950","Bel Air South CDP","total",45769,"2010"
"233","2405950","Bel Air South CDP","white",40572,"2010"
"234","2405950","Bel Air South CDP","black",2853,"2010"
"235","2405950","Bel Air South CDP","native_am",235,"2010"
"236","2405950","Bel Air South CDP","asian",1125,"2010"
"237","2405950","Bel Air South CDP","pac_islander",15,"2010"
"238","2405950","Bel Air South CDP","hispanic",1349,"2010"
"239","2406400","Beltsville CDP","total",15444,"2010"
"240","2406400","Beltsville CDP","white",5961,"2010"
"241","2406400","Beltsville CDP","black",5298,"2010"
"242","2406400","Beltsville CDP","native_am",14,"2010"
"243","2406400","Beltsville CDP","asian",1756,"2010"
"244","2406400","Beltsville CDP","pac_islander",30,"2010"
"245","2406400","Beltsville CDP","hispanic",3511,"2010"
"246","2406550","Benedict CDP","total",244,"2010"
"247","2406550","Benedict CDP","white",228,"2010"
"248","2406550","Benedict CDP","black",16,"2010"
"249","2406550","Benedict CDP","native_am",0,"2010"
"250","2406550","Benedict CDP","asian",0,"2010"
"251","2406550","Benedict CDP","pac_islander",0,"2010"
"252","2406550","Benedict CDP","hispanic",0,"2010"
"253","2406615","Bensville CDP","total",11693,"2010"
"254","2406615","Bensville CDP","white",6518,"2010"
"255","2406615","Bensville CDP","black",4196,"2010"
"256","2406615","Bensville CDP","native_am",54,"2010"
"257","2406615","Bensville CDP","asian",512,"2010"
"258","2406615","Bensville CDP","pac_islander",0,"2010"
"259","2406615","Bensville CDP","hispanic",553,"2010"
"260","2406800","Berlin town","total",4358,"2010"
"261","2406800","Berlin town","white",3332,"2010"
"262","2406800","Berlin town","black",825,"2010"
"263","2406800","Berlin town","native_am",0,"2010"
"264","2406800","Berlin town","asian",39,"2010"
"265","2406800","Berlin town","pac_islander",123,"2010"
"266","2406800","Berlin town","hispanic",565,"2010"
"267","2406925","Berwyn Heights town","total",3102,"2010"
"268","2406925","Berwyn Heights town","white",2034,"2010"
"269","2406925","Berwyn Heights town","black",447,"2010"
"270","2406925","Berwyn Heights town","native_am",19,"2010"
"271","2406925","Berwyn Heights town","asian",195,"2010"
"272","2406925","Berwyn Heights town","pac_islander",25,"2010"
"273","2406925","Berwyn Heights town","hispanic",770,"2010"
"274","2407125","Bethesda CDP","total",58537,"2010"
"275","2407125","Bethesda CDP","white",49426,"2010"
"276","2407125","Bethesda CDP","black",1879,"2010"
"277","2407125","Bethesda CDP","native_am",50,"2010"
"278","2407125","Bethesda CDP","asian",5305,"2010"
"279","2407125","Bethesda CDP","pac_islander",41,"2010"
"280","2407125","Bethesda CDP","hispanic",3498,"2010"
"281","2407200","Betterton town","total",450,"2010"
"282","2407200","Betterton town","white",397,"2010"
"283","2407200","Betterton town","black",4,"2010"
"284","2407200","Betterton town","native_am",0,"2010"
"285","2407200","Betterton town","asian",0,"2010"
"286","2407200","Betterton town","pac_islander",0,"2010"
"287","2407200","Betterton town","hispanic",19,"2010"
"288","2407285","Bier CDP","total",379,"2010"
"289","2407285","Bier CDP","white",333,"2010"
"290","2407285","Bier CDP","black",46,"2010"
"291","2407285","Bier CDP","native_am",0,"2010"
"292","2407285","Bier CDP","asian",0,"2010"
"293","2407285","Bier CDP","pac_islander",0,"2010"
"294","2407285","Bier CDP","hispanic",0,"2010"
"295","2407375","Big Pool CDP","total",22,"2010"
"296","2407375","Big Pool CDP","white",22,"2010"
"297","2407375","Big Pool CDP","black",0,"2010"
"298","2407375","Big Pool CDP","native_am",0,"2010"
"299","2407375","Big Pool CDP","asian",0,"2010"
"300","2407375","Big Pool CDP","pac_islander",0,"2010"
"301","2407375","Big Pool CDP","hispanic",0,"2010"
"302","2407400","Big Spring CDP","total",90,"2010"
"303","2407400","Big Spring CDP","white",90,"2010"
"304","2407400","Big Spring CDP","black",0,"2010"
"305","2407400","Big Spring CDP","native_am",0,"2010"
"306","2407400","Big Spring CDP","asian",0,"2010"
"307","2407400","Big Spring CDP","pac_islander",0,"2010"
"308","2407400","Big Spring CDP","hispanic",0,"2010"
"309","2407625","Bishopville CDP","total",452,"2010"
"310","2407625","Bishopville CDP","white",423,"2010"
"311","2407625","Bishopville CDP","black",29,"2010"
"312","2407625","Bishopville CDP","native_am",0,"2010"
"313","2407625","Bishopville CDP","asian",0,"2010"
"314","2407625","Bishopville CDP","pac_islander",0,"2010"
"315","2407625","Bishopville CDP","hispanic",0,"2010"
"316","2407675","Bivalve CDP","total",181,"2010"
"317","2407675","Bivalve CDP","white",181,"2010"
"318","2407675","Bivalve CDP","black",0,"2010"
"319","2407675","Bivalve CDP","native_am",0,"2010"
"320","2407675","Bivalve CDP","asian",0,"2010"
"321","2407675","Bivalve CDP","pac_islander",0,"2010"
"322","2407675","Bivalve CDP","hispanic",0,"2010"
"323","2407850","Bladensburg town","total",8918,"2010"
"324","2407850","Bladensburg town","white",1729,"2010"
"325","2407850","Bladensburg town","black",5949,"2010"
"326","2407850","Bladensburg town","native_am",15,"2010"
"327","2407850","Bladensburg town","asian",275,"2010"
"328","2407850","Bladensburg town","pac_islander",0,"2010"
"329","2407850","Bladensburg town","hispanic",2272,"2010"
"330","2408050","Bloomington CDP","total",335,"2010"
"331","2408050","Bloomington CDP","white",335,"2010"
"332","2408050","Bloomington CDP","black",0,"2010"
"333","2408050","Bloomington CDP","native_am",0,"2010"
"334","2408050","Bloomington CDP","asian",0,"2010"
"335","2408050","Bloomington CDP","pac_islander",0,"2010"
"336","2408050","Bloomington CDP","hispanic",0,"2010"
"337","2408625","Boonsboro town","total",3273,"2010"
"338","2408625","Boonsboro town","white",3220,"2010"
"339","2408625","Boonsboro town","black",25,"2010"
"340","2408625","Boonsboro town","native_am",0,"2010"
"341","2408625","Boonsboro town","asian",13,"2010"
"342","2408625","Boonsboro town","pac_islander",0,"2010"
"343","2408625","Boonsboro town","hispanic",123,"2010"
"344","2408775","Bowie city","total",54314,"2010"
"345","2408775","Bowie city","white",23840,"2010"
"346","2408775","Bowie city","black",25220,"2010"
"347","2408775","Bowie city","native_am",121,"2010"
"348","2408775","Bowie city","asian",2240,"2010"
"349","2408775","Bowie city","pac_islander",6,"2010"
"350","2408775","Bowie city","hispanic",3380,"2010"
"351","2408800","Bowleys Quarters CDP","total",6607,"2010"
"352","2408800","Bowleys Quarters CDP","white",5458,"2010"
"353","2408800","Bowleys Quarters CDP","black",926,"2010"
"354","2408800","Bowleys Quarters CDP","native_am",0,"2010"
"355","2408800","Bowleys Quarters CDP","asian",52,"2010"
"356","2408800","Bowleys Quarters CDP","pac_islander",0,"2010"
"357","2408800","Bowleys Quarters CDP","hispanic",148,"2010"
"358","2408850","Bowling Green CDP","total",1110,"2010"
"359","2408850","Bowling Green CDP","white",1080,"2010"
"360","2408850","Bowling Green CDP","black",0,"2010"
"361","2408850","Bowling Green CDP","native_am",10,"2010"
"362","2408850","Bowling Green CDP","asian",0,"2010"
"363","2408850","Bowling Green CDP","pac_islander",0,"2010"
"364","2408850","Bowling Green CDP","hispanic",3,"2010"
"365","2408862","Bowmans Addition CDP","total",515,"2010"
"366","2408862","Bowmans Addition CDP","white",515,"2010"
"367","2408862","Bowmans Addition CDP","black",0,"2010"
"368","2408862","Bowmans Addition CDP","native_am",0,"2010"
"369","2408862","Bowmans Addition CDP","asian",0,"2010"
"370","2408862","Bowmans Addition CDP","pac_islander",0,"2010"
"371","2408862","Bowmans Addition CDP","hispanic",0,"2010"
"372","2409100","Braddock Heights CDP","total",2709,"2010"
"373","2409100","Braddock Heights CDP","white",2700,"2010"
"374","2409100","Braddock Heights CDP","black",9,"2010"
"375","2409100","Braddock Heights CDP","native_am",0,"2010"
"376","2409100","Braddock Heights CDP","asian",0,"2010"
"377","2409100","Braddock Heights CDP","pac_islander",0,"2010"
"378","2409100","Braddock Heights CDP","hispanic",121,"2010"
"379","2409325","Brandywine CDP","total",6018,"2010"
"380","2409325","Brandywine CDP","white",1561,"2010"
"381","2409325","Brandywine CDP","black",4390,"2010"
"382","2409325","Brandywine CDP","native_am",0,"2010"
"383","2409325","Brandywine CDP","asian",22,"2010"
"384","2409325","Brandywine CDP","pac_islander",0,"2010"
"385","2409325","Brandywine CDP","hispanic",295,"2010"
"386","2409400","Breathedsville CDP","total",253,"2010"
"387","2409400","Breathedsville CDP","white",253,"2010"
"388","2409400","Breathedsville CDP","black",0,"2010"
"389","2409400","Breathedsville CDP","native_am",0,"2010"
"390","2409400","Breathedsville CDP","asian",0,"2010"
"391","2409400","Breathedsville CDP","pac_islander",0,"2010"
"392","2409400","Breathedsville CDP","hispanic",0,"2010"
"393","2409500","Brentwood town","total",3037,"2010"
"394","2409500","Brentwood town","white",1021,"2010"
"395","2409500","Brentwood town","black",1222,"2010"
"396","2409500","Brentwood town","native_am",0,"2010"
"397","2409500","Brentwood town","asian",17,"2010"
"398","2409500","Brentwood town","pac_islander",0,"2010"
"399","2409500","Brentwood town","hispanic",1266,"2010"
"400","2410150","Brock Hall CDP","total",8153,"2010"
"401","2410150","Brock Hall CDP","white",868,"2010"
"402","2410150","Brock Hall CDP","black",6923,"2010"
"403","2410150","Brock Hall CDP","native_am",58,"2010"
"404","2410150","Brock Hall CDP","asian",48,"2010"
"405","2410150","Brock Hall CDP","pac_islander",0,"2010"
"406","2410150","Brock Hall CDP","hispanic",68,"2010"
"407","2410225","Brookeville town","total",165,"2010"
"408","2410225","Brookeville town","white",163,"2010"
"409","2410225","Brookeville town","black",0,"2010"
"410","2410225","Brookeville town","native_am",0,"2010"
"411","2410225","Brookeville town","asian",0,"2010"
"412","2410225","Brookeville town","pac_islander",0,"2010"
"413","2410225","Brookeville town","hispanic",6,"2010"
"414","2410475","Brooklyn Park CDP","total",14178,"2010"
"415","2410475","Brooklyn Park CDP","white",10304,"2010"
"416","2410475","Brooklyn Park CDP","black",2584,"2010"
"417","2410475","Brooklyn Park CDP","native_am",0,"2010"
"418","2410475","Brooklyn Park CDP","asian",520,"2010"
"419","2410475","Brooklyn Park CDP","pac_islander",0,"2010"
"420","2410475","Brooklyn Park CDP","hispanic",734,"2010"
"421","2410500","Brookmont CDP","total",3626,"2010"
"422","2410500","Brookmont CDP","white",3253,"2010"
"423","2410500","Brookmont CDP","black",0,"2010"
"424","2410500","Brookmont CDP","native_am",0,"2010"
"425","2410500","Brookmont CDP","asian",338,"2010"
"426","2410500","Brookmont CDP","pac_islander",0,"2010"
"427","2410500","Brookmont CDP","hispanic",41,"2010"
"428","2410575","Brookview town","total",58,"2010"
"429","2410575","Brookview town","white",58,"2010"
"430","2410575","Brookview town","black",0,"2010"
"431","2410575","Brookview town","native_am",0,"2010"
"432","2410575","Brookview town","asian",0,"2010"
"433","2410575","Brookview town","pac_islander",0,"2010"
"434","2410575","Brookview town","hispanic",21,"2010"
"435","2410650","Broomes Island CDP","total",203,"2010"
"436","2410650","Broomes Island CDP","white",203,"2010"
"437","2410650","Broomes Island CDP","black",0,"2010"
"438","2410650","Broomes Island CDP","native_am",0,"2010"
"439","2410650","Broomes Island CDP","asian",0,"2010"
"440","2410650","Broomes Island CDP","pac_islander",0,"2010"
"441","2410650","Broomes Island CDP","hispanic",0,"2010"
"442","2410800","Brownsville CDP","total",335,"2010"
"443","2410800","Brownsville CDP","white",335,"2010"
"444","2410800","Brownsville CDP","black",0,"2010"
"445","2410800","Brownsville CDP","native_am",0,"2010"
"446","2410800","Brownsville CDP","asian",0,"2010"
"447","2410800","Brownsville CDP","pac_islander",0,"2010"
"448","2410800","Brownsville CDP","hispanic",0,"2010"
"449","2410900","Brunswick city","total",5770,"2010"
"450","2410900","Brunswick city","white",4939,"2010"
"451","2410900","Brunswick city","black",532,"2010"
"452","2410900","Brunswick city","native_am",0,"2010"
"453","2410900","Brunswick city","asian",160,"2010"
"454","2410900","Brunswick city","pac_islander",0,"2010"
"455","2410900","Brunswick city","hispanic",385,"2010"
"456","2410925","Bryans Road CDP","total",7552,"2010"
"457","2410925","Bryans Road CDP","white",2844,"2010"
"458","2410925","Bryans Road CDP","black",4186,"2010"
"459","2410925","Bryans Road CDP","native_am",61,"2010"
"460","2410925","Bryans Road CDP","asian",251,"2010"
"461","2410925","Bryans Road CDP","pac_islander",0,"2010"
"462","2410925","Bryans Road CDP","hispanic",299,"2010"
"463","2410950","Bryantown CDP","total",662,"2010"
"464","2410950","Bryantown CDP","white",434,"2010"
"465","2410950","Bryantown CDP","black",83,"2010"
"466","2410950","Bryantown CDP","native_am",0,"2010"
"467","2410950","Bryantown CDP","asian",0,"2010"
"468","2410950","Bryantown CDP","pac_islander",0,"2010"
"469","2410950","Bryantown CDP","hispanic",0,"2010"
"470","2411050","Buckeystown CDP","total",1361,"2010"
"471","2411050","Buckeystown CDP","white",1361,"2010"
"472","2411050","Buckeystown CDP","black",0,"2010"
"473","2411050","Buckeystown CDP","native_am",0,"2010"
"474","2411050","Buckeystown CDP","asian",0,"2010"
"475","2411050","Buckeystown CDP","pac_islander",0,"2010"
"476","2411050","Buckeystown CDP","hispanic",15,"2010"
"477","2411400","Burkittsville town","total",140,"2010"
"478","2411400","Burkittsville town","white",140,"2010"
"479","2411400","Burkittsville town","black",0,"2010"
"480","2411400","Burkittsville town","native_am",0,"2010"
"481","2411400","Burkittsville town","asian",0,"2010"
"482","2411400","Burkittsville town","pac_islander",0,"2010"
"483","2411400","Burkittsville town","hispanic",0,"2010"
"484","2411750","Burtonsville CDP","total",9233,"2010"
"485","2411750","Burtonsville CDP","white",2858,"2010"
"486","2411750","Burtonsville CDP","black",3551,"2010"
"487","2411750","Burtonsville CDP","native_am",61,"2010"
"488","2411750","Burtonsville CDP","asian",1877,"2010"
"489","2411750","Burtonsville CDP","pac_islander",0,"2010"
"490","2411750","Burtonsville CDP","hispanic",707,"2010"
"491","2411900","Butlertown CDP","total",662,"2010"
"492","2411900","Butlertown CDP","white",179,"2010"
"493","2411900","Butlertown CDP","black",483,"2010"
"494","2411900","Butlertown CDP","native_am",0,"2010"
"495","2411900","Butlertown CDP","asian",0,"2010"
"496","2411900","Butlertown CDP","pac_islander",0,"2010"
"497","2411900","Butlertown CDP","hispanic",0,"2010"
"498","2412075","Cabin John CDP","total",1963,"2010"
"499","2412075","Cabin John CDP","white",1782,"2010"
"500","2412075","Cabin John CDP","black",64,"2010"
"501","2412075","Cabin John CDP","native_am",0,"2010"
"502","2412075","Cabin John CDP","asian",73,"2010"
"503","2412075","Cabin John CDP","pac_islander",0,"2010"
"504","2412075","Cabin John CDP","hispanic",61,"2010"
"505","2412150","California CDP","total",11970,"2010"
"506","2412150","California CDP","white",8659,"2010"
"507","2412150","California CDP","black",1962,"2010"
"508","2412150","California CDP","native_am",126,"2010"
"509","2412150","California CDP","asian",467,"2010"
"510","2412150","California CDP","pac_islander",0,"2010"
"511","2412150","California CDP","hispanic",984,"2010"
"512","2412300","Calvert Beach CDP","total",599,"2010"
"513","2412300","Calvert Beach CDP","white",545,"2010"
"514","2412300","Calvert Beach CDP","black",44,"2010"
"515","2412300","Calvert Beach CDP","native_am",0,"2010"
"516","2412300","Calvert Beach CDP","asian",10,"2010"
"517","2412300","Calvert Beach CDP","pac_islander",0,"2010"
"518","2412300","Calvert Beach CDP","hispanic",14,"2010"
"519","2412350","Calverton CDP","total",17800,"2010"
"520","2412350","Calverton CDP","white",6333,"2010"
"521","2412350","Calverton CDP","black",6915,"2010"
"522","2412350","Calverton CDP","native_am",3,"2010"
"523","2412350","Calverton CDP","asian",3213,"2010"
