X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8494644.5874,4718464.341,550,Queen Anne's,17.006,Stevensville Middle,610 MAIN STREET,STEVENSVILLE,MD,21666,6-8,Middle
-8494575.0244,4718775.2323,551,Queen Anne's,17.007,Kent Island Elementary,110 ELEMENTARY WAY,STEVENSVILLE,MD,21666,PreK-2,Elementary
-8481284.693,4716234.4662,552,Queen Anne's,17.009,Grasonville Elementary,5435 MAIN STREET,GRASONVILLE,MD,21638,PreK-5,Elementary
-8458115.2415,4742802.7017,553,Queen Anne's,17.013,Church Hill Elementary,631 MAIN STREET,CHURCH HILL,MD,21623,PreK-4,Elementary
-8569970.127,4680080.8273,554,Prince George's,16.210,Fort Washington Forest Elementary,1300 FILLMORE ROAD,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8561516.9929,4729547.5161,555,Prince George's,16.213,"King, Jr. (Martin Luther) Middle",4545 AMMENDALE ROAD,BELTSVILLE,MD,20705,6-8,Middle
-8466200.6942,4727008.6144,556,Queen Anne's,17.001,Queen Anne's County High,125 RUTHSBURG ROAD,CENTREVILLE,MD,21617,9-12,High
-8465863.4667,4726556.9673,557,Queen Anne's,17.004,Centreville Middle,231 RUTHSBURG ROAD,CENTREVILLE,MD,21617,6-8,Middle
-8563825.0303,4693506.1299,558,Prince George's,16.205,Allenwood Elementary,6300 HARLEY LANE,TEMPLE HILLS,MD,20748,PreK-5,Elementary
-8558290.5114,4699470.701,559,Prince George's,16.242,Longfields Elementary,3300 NEWKIRK AVENUE,FORESTVILLE,MD,20747,PreK-6,Elementary
-8562443.2773,4700713.2601,560,Prince George's,16.258,Suitland High Annex,5200 SILVER HILL ROAD,FORESTVILLE,MD,20747,9-12,High
-8543305.5479,4715640.1495,561,Prince George's,16.185,Tasker (Benjamin) Middle,4901 COLLINGTON ROAD,BOWIE,MD,20715,6-8,Middle
-8542045.4993,4715834.9543,562,Prince George's,16.195,Kenilworth Elementary,12520 KEMBRIDGE DRIVE,BOWIE,MD,20715,K-5,Elementary
-8561338.8689,4702100.1741,563,Prince George's,16.237,Concord Elementary,2004 CONCORD LANE,DISTRICT HEIGHTS,MD,20747,PreK-6,Elementary
-8558994.3461,4696912.1121,564,Prince George's,16.215,Foulois (Benjamin) Creative and Performing Arts Academy,4601 BEAUFORD ROAD,MORNINGSIDE,MD,20746,K-8,Elementary/Middle
-8556928.1494,4679751.7118,565,Prince George's,16.211,Gwynn Park Middle,8000 DYSON ROAD,BRANDYWINE,MD,20613,6-8,Middle
-8549908.8294,4685623.9088,566,Prince George's,16.244,Mattaponi Elementary,11701 DULEY STATION ROAD,UPPER MARLBORO,MD,20772,K-5,Elementary
-8559971.5002,4737401.5489,567,Prince George's,16.233,Bond Mill Elementary,16001 SHERWOOD AVENUE,LAUREL,MD,20707,K-5,Elementary
-8559319.5135,4690879.0061,568,Prince George's,16.238,Evans (Francis T.) Elementary,6720 OLD ALEXANDRIA FERRY ROAD,CLINTON,MD,20735,PreK-5,Elementary
-8546037.464,4673191.7003,569,Prince George's,16.228,Baden Elementary,13601 BADEN-WESTWOOD ROAD,BRANDYWINE,MD,20613,PreK-6,Elementary
-8557053.1998,4710421.8558,570,Prince George's,16.245,EXCEL Academy Public Charter,7910 SCOTT RD,LANDOVER,MD,20785,K-8,Elementary/Middle
-8556822.101,4711290.1711,571,Prince George's,16.225,Kenmoor Early Childhood Center,3211 82ND AVENUE,LANDOVER,MD,20785,PreK,Special Ed.
-8569006.1348,4696126.7563,572,Prince George's,16.216,Potomac High,5211 BOYDELL AVENUE,OXON HILL,MD,20745,9-12,High
-8572230.8075,4689620.9482,573,Prince George's,16.214,Fort Foote Elementary,8300 OXON HILL ROAD,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8541902.3667,4720215.9299,574,Prince George's,16.248,Yorktown Elementary,7301 RACE TRACK ROAD,BOWIE,MD,20715,K-5,Elementary
