  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2022 107    0.89    2.74    1.91    4.93    3.75    7.13
2022 108    0.92    2.76    1.93    4.97    3.80    6.98
2022 109    0.95    2.79    1.98    4.93    3.93    6.71
2022 110    0.99    2.89    2.04    4.96    4.05    6.61
2022 111    1.04    3.04    2.17    5.13    4.13    6.93
2022 112    1.09    3.06    2.24    5.31    4.22    7.14
2022 113    1.25    3.10    2.33    5.63    4.23    7.49
2022 114    1.39    3.21    2.41    5.85    4.28    7.92
2022 115    1.32    3.31    2.54    5.95    4.36    8.22
2022 116    1.21    3.36    2.56    5.97    4.41    8.26
2022 117    1.19    3.39    2.59    5.98    4.45    8.00
2022 118    1.23    3.46    2.69    6.04    4.50    7.81
2022 119    1.26    3.51    2.85    6.14    4.57    7.78
2022 120    1.34    3.61    2.95    6.22    4.58    7.91
2022 121    1.46    3.72    2.99    6.30    4.60    8.10
2022 122    1.54    3.85    3.09    6.47    4.65    8.38
2022 123    1.56    3.94    3.20    6.68    4.73    8.71
2022 124    1.58    3.98    3.27    6.94    4.83    9.01
2022 125    1.67    4.07    3.27    7.23    4.88    9.30
2022 126    1.83    4.24    3.45    7.49    5.08    9.58
2022 127    1.98    4.45    3.71    7.65    5.29    9.76
2022 128    2.05    4.64    3.91    7.87    5.46    9.91
2022 129    2.17    4.93    4.18    8.24    5.75   10.17
2022 130    2.45    5.30    4.39    8.72    6.23   10.58
2022 131    2.68    5.70    4.63    9.46    6.69   11.25
2022 132    3.12    6.27    5.02   10.52    7.37   12.08
2022 133    3.53    6.77    5.50   11.68    8.33   12.84
2022 134    2.99    6.70    5.79   12.49    9.21   13.42
2022 135    2.57    6.53    5.67   12.55    9.49   13.72
2022 136    2.38    6.40    5.41   12.30    9.05   13.73
2022 137    2.32    6.31    5.30   12.02    8.51   13.79
2022 138    2.35    6.41    5.36   11.91    8.46   13.87
2022 139    2.39    6.51    5.55   11.91    8.65   13.94
2022 140    2.43    6.60    5.73   12.05    8.95   14.05
2022 141    2.46    6.66    5.85   12.33    9.40   14.17
2022 142    2.54    6.74    5.92   12.54    9.22   14.19
2022 143    2.65    6.86    6.00   12.56    9.00   14.04
2022 144    2.68    6.92    6.07   12.62    9.10   14.07
2022 145    2.73    6.98    6.23   13.08    9.58   14.62
2022 146    2.85    7.04    6.54   13.94   10.55   15.48
2022 147    2.97    7.07    6.87   14.74   11.63   16.04
2022 148    3.00    7.13    7.16   15.21   12.44   16.45
2022 149    3.09    7.54    7.63   15.69   13.03   16.59
2022 150    3.25    8.07    8.11   16.24   13.46   16.91
2022 151    3.39    8.61    8.54   16.57   13.37   17.19
2022 152    3.43    8.97    8.35   16.77   13.25   17.29
2022 153    3.40    9.18    8.20   16.87   13.24   17.36
2022 154    3.30    9.13    8.14   16.97   13.20   17.31
2022 155    3.28    9.08    8.08   16.98   13.04   17.27
2022 156    3.37    9.13    8.20   16.96   13.14   17.22
2022 157    3.42    9.24    8.36   16.85   13.25   17.08
2022 158    3.52    9.43    8.52   16.76   13.08   17.02
2022 159    3.63    9.62    8.70   16.75   13.02   16.98
2022 160    3.69    9.92    8.97   16.89   13.27   17.03
2022 161    3.78   10.21    9.11   17.06   13.55   17.19
2022 162    3.83   10.49    9.32   17.56   14.26   17.86
2022 163    3.82   10.77    9.67   17.96   14.63   18.27
2022 164    3.88   11.15   10.07   18.34   14.98   18.29
2022 165    4.03   11.81   10.63   19.03   15.52   19.08
2022 166    4.26   12.25   10.77   19.76   15.82   20.16
2022 167    4.47   12.45   10.77   19.95   15.89   20.42
2022 168    4.51   12.53   10.71   19.85   15.90   20.39
2022 169    4.50   12.69   10.48   19.41   15.47   20.09
2022 170    4.81   12.87   10.49   19.12   15.19   19.94
2022 171    5.56   13.28   10.90   19.23   15.48   20.20
2022 172    5.44   14.01   11.54   19.40   16.03   20.55
2022 173    5.21   14.63   11.94   19.71   16.70   21.14
2022 174    5.28   15.07   12.05   19.79   16.97   21.21
2022 175    5.20   15.30   12.33   20.14   17.33   21.48
2022 176    4.94   15.49   12.69   20.43   17.75   21.56
2022 177    4.81   15.58   13.01   20.51   17.81   21.43
2022 178    4.76   15.57   13.06   20.44   17.59   21.24
2022 179    4.76   15.64   13.07   20.46   17.48   21.05
